Noms humains,Second nom,Troisième nom,Quatrième nom,H/F/Na,ID unique,Morts,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences
Armor,,,,HOMME,35,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Arnor,,,,HOMME,36,,0,0,0,0,0,3,0,0,0,0,12,3,2,7,0,27
Arthied,Desi,,,HOMME,37,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Asgenar,,,,HOMME,38,,0,6,0,0,0,123,0,0,89,0,1,0,4,45,2,270
Ashmichel,,,,HOMME,39,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
Athpathis,,,,HOMME,40,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Audiva,,,,FEMME,41,,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,78
Avril,Bitra,,,FEMME,42,,194,0,145,4,1,19,2,6,8,0,1,1,0,22,7,410
Azury,,,,HOMME,43,,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,39
B’dor,,,,HOMME,44,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
B’fol,,,,,45,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
B’greal,,,,,46,,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4
B’lerion,,,,HOMME,47,,0,0,0,115,23,2,0,0,0,0,0,0,0,0,0,140
B’naj,,,,HOMME,48,,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,13
B’nurrin,,,,HOMME,50,,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,32
B’rant,,,,HOMME,51,,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,6
B’refli,,,,,52,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
B’zon,,,,HOMME,53,,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,14
Bahka,,,,HOMME,54,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Baid,,,,HOMME,55,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
Baldor,,,,HOMME,56,,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8
Balfor,,,,HOMME,57,,0,0,0,10,2,1,0,0,0,0,0,0,0,0,0,13
Ballora,,,,FEMME,58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
Banak,,,,HOMME,59,,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11
Bandarek,,,,,60,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Banger,,,,HOMME,61,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Bantur,,,,HOMME,62,,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,9
Barba,,,,FEMME,63,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Bardie,,,,FEMME,64,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bargen,,,,HOMME,65,,0,1,0,0,0,0,14,1,2,0,0,3,0,13,16,50
Barla,,,,FEMME,66,,0,0,0,0,0,28,0,0,0,0,0,0,0,2,0,30
Barndy,,,,HOMME,68,,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,5
Barr,Hamil,,,FEMME,69,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Bart,Lemos,,,HOMME,70,,43,1,0,6,2,32,2,4,54,0,1,0,1,13,3,162
Basil,,,,HOMME,71,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bastom,,,,HOMME,72,,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21
Batim,,,,HOMME,73,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18
Batunon,,,,HOMME,74,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Bay,Harkenon,,,FEMME,75,,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206
Becky,Nielsen,,,HOMME,76,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bedda,,,,FEMME,77,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Bedella,,,,FEMME,78,,0,0,0,0,0,1,0,0,8,0,0,0,0,0,3,12
Begamon,,,,HOMME,79,,0,1,0,0,0,0,0,0,0,0,0,0,5,26,0,32
Belesdan,Belesden,,,HOMME,80,,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,6
Belterac,,,,HOMME,81,,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14
Ben,,,,,82,,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,7
Bendarek,,,,HOMME,83,,0,1,0,0,0,2,0,0,16,0,1,0,7,37,1,65
Benelek,,,,HOMME,84,,0,6,0,0,0,1,0,0,0,0,2,0,18,38,6,71
Benini,,,,HOMME,85,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
Benis,,,,HOMME,86,,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35
Benoria,,,,FEMME,87,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Berdine,,,,HOMME,89,,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12
Besel,,,,HOMME,90,,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15
Besic,,,,HOMME,91,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
Bessel,,,,HOMME,92,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
Bessera,,,,FEMME,93,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
Bestrum,,,,HOMME,94,,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,16
Bethany,,,,FEMME,95,,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,44
Betsy,,,,,97,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Betty,Musgrave,Blake,,FEMME,98,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Bill,Duff,,,HOMME,99,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Binness,,,,HOMME,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44
Birsan,,,,HOMME,101,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Birto,,,,,102,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Blesserel,,,,HOMME,103,,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30
Bloors,,,,HOMME,104,,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9
Bob,Jorgensen,,,HOMME,106,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bob,Jepson,,,HOMME,105,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Bonna,,,,FEMME,107,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bonz,,,,HOMME,108,,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,13
Boranda,,,,FEMME,109,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
Borel,,,,HOMME,110,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
Borgald,Amhold,,,HOMME,111,,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,46
Boris,Pahlevi,,,HOMME,112,,22,0,14,0,0,0,0,0,0,0,0,0,0,0,0,36
