Noms humains,Second nom,Troisième nom,Quatrième nom,H/F/Na,ID unique,Morts,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences
Bessera,,,,FEMME,91,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
Bestrum,,,,HOMME,92,,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,16
Bethany,,,,FEMME,93,,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,44
Betrice,,,,FEMME,94,True,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,73
Betsy,,,,,95,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Betty,Musgrave,Blake,,FEMME,96,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Bill,Duff,,,HOMME,97,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Binness,,,,HOMME,98,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44
Birsan,,,,HOMME,99,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Birto,,,,,100,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Blesserel,,,,HOMME,101,,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30
Bloors,,,,HOMME,102,,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9
Bob,Jorgensen,,,HOMME,103,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bob,Jepson,,,HOMME,104,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Bonna,,,,FEMME,105,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bonz,,,,HOMME,106,,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,13
Boranda,,,,FEMME,107,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
Borel,,,,HOMME,108,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
Borgald,Amhold,,,HOMME,109,,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,46
Boris,Pahlevi,,,HOMME,110,,22,0,14,0,0,0,0,0,0,0,0,0,0,0,0,36
Boskoney,,,,HOMME,111,,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Bosler,,,,HOMME,112,,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15
Bourdon,,,,HOMME,113,,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,19
