NOMS HUMAINS,SECOND NOM,TROISIEME NOM,NOMS DRAGONS,COULEUR DRAGON,H/F/O,Id unique,Mort,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences,,,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,tot,,
Jallora,,,,,FEMME,104.0,,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,27,,,,,,,,,,,,,,,,,,,,
Sallisha,,,,,FEMME,218.0,,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,,,,,,,,,,,,,,,,,,,,
Sue,Havers,,,,FEMME,242.0,,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,27,,,,,,,,,,,,,,,,,,,,
Salda,,,,,FEMME,215.0,,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,,,,,,,,,,,,,,,,,
Kitrin,,,,,FEMME,127.0,,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,,,,,,,,,,,,,,,,,
Briala,,,,,FEMME,38.0,,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,
Kubisa,,,,,FEMME,129.0,,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,
Kamiana,,,Pelianth,reine,FEMME,117.0,,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,
Levalla,,,Oribeth,reine,FEMME,139.0,,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,
Thea,,,,,FEMME,255.0,,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,
Abuna,,,,,FEMME,3.0,,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,23,,,,,,,,,,,,,,,,,,,,
Carol,Duff,Vassaloe,,,FEMME,42.0,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,,,,,,,,,,,,,,,,,,,,
Greta,,,,,FEMME,94.0,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,,,,,,,,,,,,,,,,,,,,
Adrea,Beljeth,,,,FEMME,5.0,,0,4,0,0,0,5,0,0,0,0,0,0,0,2,11,22,,,,,,,,,,,,,,,,,,,,
Sanra,,,,,FEMME,219.0,,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,22,,,,,,,,,,,,,,,,,,,,
Janissian,,,,,FEMME,108.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,,,,,,,,,,,,,,,,,,,,
Sagassy,,,,,FEMME,214.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,,,,,,,,,,,,,,,,,,,,
Pendra,,,,,FEMME,201.0,True,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,21,,,,,,,,,,,,,,,,,,,,
Sydra,,,,,FEMME,246.0,,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,
Carola,,,Feyrith,reine,FEMME,43.0,True,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19,,,,,,,,,,,,,,,,,,,,
Danja,,,,,FEMME,58.0,,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19,,,,,,,,,,,,,,,,,,,,
Tenna,,,,,FEMME,254.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,,,,,,,,,,,,,,,,,,,,
Deelan,,,,vert,FEMME,60.0,,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,,,,,,,,,,,,,,,,,,,,
Diona,,,Killanath,reine,FEMME,63.0,,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,18,,,,,,,,,,,,,,,,,,,,
Orna,,,,,FEMME,197.0,,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,18,,,,,,,,,,,,,,,,,,,,
Nadona,,,,,FEMME,182.0,,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18,,,,,,,,,,,,,,,,,,,,
Jule,,,,,FEMME,114.0,,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,,,,,,,,,,,,,,
Sarra,,,,,FEMME,222.0,,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,,,,,,,,,,,,,,
