NOMS HUMAINS,SECOND NOM,TROISIEME NOM,NOMS DRAGONS,COULEUR DRAGON,H/F/O,Id unique,Mort,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences,,,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,tot,,
Hamian,,,,,HOMME,540.0,,0,5,0,0,0,51,0,0,0,0,0,0,0,43,3,102,,,,,,,,,,,,,,,,,,,,
Saneter,,,,,HOMME,795.0,,0,0,0,0,0,89,0,0,0,0,0,12,0,0,0,101,,,,,,,,,,,,,,,,,,,,
Corman,,,,,HOMME,402.0,,0,1,0,0,0,12,0,2,18,0,0,0,5,58,2,98,,,,,,,,,,,,,,,,,,,,
Nicat,,,,,HOMME,696.0,,0,26,0,0,0,4,0,0,2,11,3,4,42,6,0,98,,,,,,,,,,,,,,,,,,,,
Dag,,,,,HOMME,418.0,,0,0,0,73,25,0,0,0,0,0,0,0,0,0,0,98,,,,,,,,,,,,,,,,,,,,
Melongel,,,,,HOMME,669.0,,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,97,,,,,,,,,,,,,,,,,,,,
Oterel,,,,,HOMME,711.0,,0,6,0,0,0,3,9,0,26,0,0,11,0,39,0,94,,,,,,,,,,,,,,,,,,,,
Terry,,,,,HOMME,867.0,,0,1,0,0,0,1,0,0,72,0,0,0,0,20,0,94,,,,,,,,,,,,,,,,,,,,
Joël,Lilienkamp,Joel / Lili,,,HOMME,577.0,,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,93,,,,,,,,,,,,,,,,,,,,
Brand,,,,bleu,HOMME,344.0,,0,0,0,0,0,3,0,1,0,0,0,0,34,47,7,92,,,,,,,,,,,,,,,,,,,,
Vergerin,,,,,HOMME,917.0,,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,91,,,,,,,,,,,,,,,,,,,,
Stev,Kimmer,,,,HOMME,829.0,True,77,0,0,0,0,0,0,0,0,0,0,0,0,0,13,90,,,,,,,,,,,,,,,,,,,,
G’narish,,,Gyamath,bronze,HOMME,499.0,,0,1,0,0,0,0,0,0,69,0,0,2,5,1,11,89,,,,,,,,,,,,,,,,,,,,
Dirzan,,,,,HOMME,432.0,,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,88,,,,,,,,,,,,,,,,,,,,
S’nan,,,,,HOMME,789.0,,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,
R’mart,,,Branth,bronze,HOMME,752.0,,0,22,0,0,0,2,0,0,36,0,0,0,14,5,8,87,,,,,,,,,,,,,,,,,,,,
Tarvi,Andiyar,Andivar,,,HOMME,861.0,,80,0,1,0,0,1,0,0,0,0,0,0,0,5,0,87,,,,,,,,,,,,,,,,,,,,
Drake,Bonneau,,,,HOMME,437.0,,83,1,0,0,0,1,0,0,0,0,0,0,0,1,0,86,,,,,,,,,,,,,,,,,,,,
Bridgely,,,,,HOMME,353.0,,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,85,,,,,,,,,,,,,,,,,,,,
Jamson,,,,,HOMME,560.0,,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,85,,,,,,,,,,,,,,,,,,,,
Haligon,,,,,HOMME,539.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,,,,,,,,,,,,,,,,,,,,
G’dened,G’neded,,Baranth,bronze,HOMME,494.0,,0,8,0,0,0,0,0,0,0,0,0,0,12,2,60,82,,,,,,,,,,,,,,,,,,,,
Léo,Léopol,,,,HOMME,627.0,,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,82,,,,,,,,,,,,,,,,,,,,
Red,Hanrahan,,,,HOMME,766.0,,73,0,5,0,0,0,0,0,0,0,0,0,0,2,0,80,,,,,,,,,,,,,,,,,,,,
Talmor,,,,,HOMME,856.0,,0,13,0,0,0,0,0,0,6,0,59,2,0,0,0,80,,,,,,,,,,,,,,,,,,,,
Crenden,Cren,,,,HOMME,405.0,,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,75,,,,,,,,,,,,,,,,,,,,
Lobirn,,,,,HOMME,633.0,,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,74,,,,,,,,,,,,,,,,,,,,
M’barak,,,Arith,bleu,HOMME,638.0,,0,0,0,56,17,0,0,0,0,0,0,0,0,0,0,73,,,,,,,,,,,,,,,,,,,,
Benelek,,,,,HOMME,319.0,,0,6,0,0,0,1,0,0,0,0,2,0,18,38,6,71,,,,,,,,,,,,,,,,,,,,
M’leng,,,Sith,vert,HOMME,640.0,,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,70,,,,,,,,,,,,,,,,,,,,
C’gan,,,Tagath,bleu,HOMME,363.0,True,0,0,0,0,0,0,50,17,2,0,0,0,0,0,0,69,,,,,,,,,,,,,,,,,,,,
Bendarek,,,,,HOMME,318.0,,0,1,0,0,0,2,0,0,16,0,1,0,7,37,1,65,,,,,,,,,,,,,,,,,,,,
Dushik,,,,,HOMME,439.0,,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,65,,,,,,,,,,,,,,,,,,,,
Sheledon,Shel,,,,HOMME,812.0,,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,61,,,,,,,,,,,,,,,,,,,,
Ranrel,,,,,HOMME,761.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,52,8,60,,,,,,,,,,,,,,,,,,,,
Jerint,,,,,HOMME,568.0,,0,0,0,0,0,0,7,0,0,0,51,2,0,0,0,60,,,,,,,,,,,,,,,,,,,,
S’loner,,,Chendith,,HOMME,787.0,True,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,59,,,,,,,,,,,,,,,,,,,,
Dorse,,,,,HOMME,436.0,,0,0,0,0,0,11,0,0,0,0,0,0,25,0,20,56,,,,,,,,,,,,,,,,,,,,
Norist,,,,,HOMME,700.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,47,9,56,,,,,,,,,,,,,,,,,,,,
Breide,,,,,HOMME,347.0,,0,0,0,0,0,43,0,0,0,0,0,0,0,12,0,55,,,,,,,,,,,,,,,,,,,,
Brudegan,Bruddie,,,,HOMME,361.0,,0,0,0,0,0,0,0,0,14,0,41,0,0,0,0,55,,,,,,,,,,,,,,,,,,,,
Washell,Wachell,Wash,,,HOMME,930.0,,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,55,,,,,,,,,,,,,,,,,,,,
Kalvi,,,,,HOMME,592.0,,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,55,,,,,,,,,,,,,,,,,,,,
Andemon,,,,,HOMME,279.0,,0,1,0,0,0,0,0,0,50,0,0,0,3,0,0,54,,,,,,,,,,,,,,,,,,,,
David,Catarel,Dave,,,HOMME,421.0,,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,,,,,,,,,,,,,,,,,,,,
Sigomal,,,,,HOMME,820.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,52,,,,,,,,,,,,,,,,,,,,
Jemmy,,,,,HOMME,565.0,,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,51,,,,,,,,,,,,,,,,,,,,
Bargen,,,,,HOMME,306.0,,0,1,0,0,0,0,14,1,2,0,0,3,0,13,16,50,,,,,,,,,,,,,,,,,,,,
Perschar,Pershar,,,,HOMME,731.0,,0,1,0,0,0,42,0,0,0,0,0,0,0,7,0,50,,,,,,,,,,,,,,,,,,,,
Ratoshigan,Ratoshinga,,,,HOMME,764.0,,0,0,0,46,4,0,0,0,0,0,0,0,0,0,0,50,,,,,,,,,,,,,,,,,,,,
S’peren,,,Clioth,bronze,HOMME,790.0,,0,0,0,48,2,0,0,0,0,0,0,0,0,0,0,50,,,,,,,,,,,,,,,,,,,,
Cogneur,,,,,HOMME,398.0,,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,48,,,,,,,,,,,,,,,,,,,,
Torlo,,,,,HOMME,889.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,,,,,,,,,,,,,,,,,,,,
Nazer,,,,,HOMME,693.0,,0,9,0,0,0,38,0,0,0,0,0,0,0,0,0,47,,,,,,,,,,,,,,,,,,,,
Maidir,,,,,HOMME,653.0,True,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,46,,,,,,,,,,,,,,,,,,,,
Borgald,Amhold,,,,HOMME,337.0,,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,46,,,,,,,,,,,,,,,,,,,,
Laudey,,,,,HOMME,621.0,,0,5,0,0,0,18,0,0,4,0,0,3,1,12,2,45,,,,,,,,,,,,,,,,,,,,
Fortine,,,,,HOMME,485.0,,0,0,0,37,6,0,0,0,0,0,0,0,0,0,2,45,,,,,,,,,,,,,,,,,,,,
Porrig,Connell,,,,HOMME,745.0,,39,0,3,0,0,0,0,0,0,0,0,0,0,3,0,45,,,,,,,,,,,,,,,,,,,,
Campen,,,,,HOMME,374.0,,0,0,0,4,41,0,0,0,0,0,0,0,0,0,0,45,,,,,,,,,,,,,,,,,,,,
Binness,,,,,HOMME,329.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,,,,,,,,,,,,,,,,,,,,
Nessel,,,,,HOMME,695.0,,0,1,0,0,0,0,0,4,19,0,0,2,1,17,0,44,,,,,,,,,,,,,,,,,,,,
K’net,,,Pianth,bronze,HOMME,585.0,,0,0,0,0,0,0,4,40,0,0,0,0,0,0,0,44,,,,,,,,,,,,,,,,,,,,
Fulmar,Stone,,,,HOMME,490.0,,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,44,,,,,,,,,,,,,,,,,,,,
Tarathel,,,,,HOMME,859.0,,0,0,0,0,0,6,37,0,0,0,0,0,0,0,0,43,,,,,,,,,,,,,,,,,,,,
Fergal,,,,,HOMME,476.0,,0,0,0,15,28,0,0,0,0,0,0,0,0,0,0,43,,,,,,,,,,,,,,,,,,,,
Sifer,,,,,HOMME,819.0,,0,0,0,0,0,22,1,0,18,0,0,0,0,1,0,42,,,,,,,,,,,,,,,,,,,,
Morshal,Morshall,,,,HOMME,679.0,,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,42,,,,,,,,,,,,,,,,,,,,
S’lel,,,Tuenth,bronze,HOMME,784.0,,0,0,0,0,0,0,9,32,1,0,0,0,0,0,0,42,,,,,,,,,,,,,,,,,,,,
Tashvi,,,,,HOMME,862.0,,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,,,,,,,,,,,,,,,,
Morilton,,,,,HOMME,677.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,41,,,,,,,,,,,,,,,,,,,,
Warbret,,,,,HOMME,928.0,,0,1,0,0,0,0,0,0,4,0,0,0,11,24,1,41,,,,,,,,,,,,,,,,,,,,
Clostan,,,,,HOMME,396.0,,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,41,,,,,,,,,,,,,,,,,,,,
Faroguy,,,,,HOMME,467.0,True,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,41,,,,,,,,,,,,,,,,,,,,
S’ligar,,,Gianarth,bronze,HOMME,786.0,,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,41,,,,,,,,,,,,,,,,,,,,
Boskoney,,,,,HOMME,339.0,,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,41,,,,,,,,,,,,,,,,,,,,
M’tani,,,Hogarth,bronze,HOMME,649.0,,0,0,0,39,1,0,0,0,0,0,0,0,0,0,0,40,,,,,,,,,,,,,,,,,,,,
Berchar,Berch,,,,HOMME,322.0,True,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,40,,,,,,,,,,,,,,,,,,,,
K’dren,,,Kuzuth,bronze,HOMME,581.0,,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,40,,,,,,,,,,,,,,,,,,,,
Peter,Semling,,Gilgath,bronze,HOMME,734.0,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,,,,,,,,,,,,,,,,,,,,
M’rand,,,,,HOMME,643.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,39,,,,,,,,,,,,,,,,,,,,
Pressen,,,,,HOMME,748.0,,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,39,,,,,,,,,,,,,,,,,,,,
Azury,,,,,HOMME,291.0,,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,39,,,,,,,,,,,,,,,,,,,,
Gallian,Galli,,,,HOMME,506.0,,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,39,,,,,,,,,,,,,,,,,,,,
Cabot,Francis,Carter,,,HOMME,369.0,,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,,,,,,,,,,,,,,,,,,,,
Denol,,,,,HOMME,427.0,,0,4,0,0,0,17,0,0,0,0,0,0,0,14,1,36,,,,,,,,,,,,,,,,,,,,
Boris,Pahlevi,,,,HOMME,338.0,,22,0,14,0,0,0,0,0,0,0,0,0,0,0,0,36,,,,,,,,,,,,,,,,,,,,
Benis,,,,,HOMME,321.0,,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,
Minnarden,,,,,HOMME,675.0,,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,
G’lanar,,,Lamoth,,HOMME,497.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34,,,,,,,,,,,,,,,,,,,,
Ranly,,,,,HOMME,759.0,,0,0,0,0,0,0,0,0,0,0,27,7,0,0,0,34,,,,,,,,,,,,,,,,,,,,
T’reb,,,Beth,vert,HOMME,848.0,,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,34,,,,,,,,,,,,,,,,,,,,
Follen,,,,,HOMME,483.0,,0,0,0,29,5,0,0,0,0,0,0,0,0,0,0,34,,,,,,,,,,,,,,,,,,,,
Domaize,,,,,HOMME,433.0,,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,34,,,,,,,,,,,,,,,,,,,,
T’dam,,,,,HOMME,835.0,,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,34,,,,,,,,,,,,,,,,,,,,
Curran,,,,,HOMME,408.0,,0,28,0,0,0,0,0,0,0,0,0,0,0,0,5,33,,,,,,,,,,,,,,,,,,,,
Grogellan,,,,,HOMME,531.0,True,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,33,,,,,,,,,,,,,,,,,,,,
Leef,Leff,,,,HOMME,625.0,,0,0,0,31,2,0,0,0,0,0,0,0,0,0,0,33,,,,,,,,,,,,,,,,,,,,
Begamon,,,,,HOMME,315.0,,0,1,0,0,0,0,0,0,0,0,0,0,5,26,0,32,,,,,,,,,,,,,,,,,,,,
Rampesi,,,,,HOMME,758.0,,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,32,,,,,,,,,,,,,,,,,,,,
Chuck,Kimmage,,,,HOMME,389.0,,12,0,0,0,0,20,0,0,0,0,0,0,0,0,0,32,,,,,,,,,,,,,,,,,,,,
Talpan,,,,,HOMME,857.0,True,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,32,,,,,,,,,,,,,,,,,,,,
B’nurrin,,,,,HOMME,296.0,,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,32,,,,,,,,,,,,,,,,,,,,
Issony,,,,,HOMME,553.0,,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,32,,,,,,,,,,,,,,,,,,,,
Deckter,,,,,HOMME,422.0,,0,1,0,0,0,0,0,0,0,0,0,20,0,7,3,31,,,,,,,,,,,,,,,,,,,,
Caselon,,,,,HOMME,378.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,,,,,,,,,,,,,,,,,,,,
S’gor,,,Malth,vert,HOMME,781.0,,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,31,,,,,,,,,,,,,,,,,,,,
Ozzie,Munson,Oz,,,HOMME,713.0,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,,,,,,,,,,,,,,,,,,,,
Stinar,,,,,HOMME,830.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,,,,,,,,,,,,,,,,,,,,
Blesserel,,,,,HOMME,331.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,,,,,,,,,,,,,,,,,,,,
S’len,,,Bigath,vert,HOMME,785.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,,,,,,,,,,,,,,,,,,,,
Vincet,,,,,HOMME,920.0,,0,0,0,0,0,14,0,11,5,0,0,0,0,0,0,30,,,,,,,,,,,,,,,,,,,,
C’rob,,,Spakinth,,HOMME,364.0,,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30,,,,,,,,,,,,,,,,,,,,
Kashman,,,,,HOMME,595.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,,,,,,,,,,,,,,,,,,,,
Shankolin,Glasstol de Crom,,,,HOMME,810.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,,,,,,,,,,,,,,,,,,,,
Kale,,,,,HOMME,589.0,True,0,0,0,0,0,4,25,0,0,0,0,0,0,0,0,29,,,,,,,,,,,,,,,,,,,,
Vander,,,,,HOMME,913.0,True,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,29,,,,,,,,,,,,,,,,,,,,
Jake,Chernoff,,,,HOMME,559.0,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,,,,,,,,,,,,,,,,,,,,
Zurg,,,,,HOMME,939.0,,0,0,0,0,0,0,0,9,9,0,0,0,0,9,1,28,,,,,,,,,,,,,,,,,,,,
Hayon,,,,,HOMME,541.0,,1,0,0,0,0,0,26,0,0,0,0,1,0,0,0,28,,,,,,,,,,,,,,,,,,,,
Norman,,,,,HOMME,701.0,,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,28,,,,,,,,,,,,,,,,,,,,
A’dan,,,Tigrath,vert,HOMME,270.0,,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,28,,,,,,,,,,,,,,,,,,,,
Marco,Galliani,,Duluth,brun,HOMME,660.0,True,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,,,,,,,,,,,,,,,,,,,
Phas,Radamanth,,,,HOMME,739.0,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,,,,,,,,,,,,,,,,,,,
Arnor,,,,,HOMME,286.0,,0,0,0,0,0,3,0,0,0,0,12,3,2,7,0,27,,,,,,,,,,,,,,,,,,,,
Mallan,,,,,HOMME,655.0,,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,27,,,,,,,,,,,,,,,,,,,,
Mar,Dook,,,,HOMME,657.0,,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,,,,,,,,,,,,,,,,,,,,
Brian,,,,,HOMME,351.0,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,,,,,,,,,,,,,,,,,,,,
Toronas,,,,,HOMME,890.0,,0,2,0,0,0,0,0,0,0,0,0,0,0,14,10,26,,,,,,,,,,,,,,,,,,,,
Oharan,,,,,HOMME,705.0,,0,0,0,0,0,0,0,0,0,16,0,9,1,0,0,26,,,,,,,,,,,,,,,,,,,,
Timiny,Tim,,,,HOMME,878.0,,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,26,,,,,,,,,,,,,,,,,,,,
Lexey,,,,,HOMME,630.0,,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,26,,,,,,,,,,,,,,,,,,,,
Cobber,Alhinwa,,,,HOMME,397.0,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,,,,,,,,,,,,,,,,,
Clell,,,,,HOMME,393.0,,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,,,,,,,,,,,,,,,,,,,,
Vieil Oncle,,,,,HOMME,919.0,,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,25,,,,,,,,,,,,,,,,,,,,
Armald,,,,,HOMME,283.0,True,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,,,,,,,,,,,,,,,,,,,,
L’bol,,,Timenth,bronze,HOMME,607.0,,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,,,,,,,,,,,,,,,,,,,,
Patrice,de Broglie,,,,HOMME,723.0,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,,,,,,,,,,,,,,,,,,,,
Rokayas,,,,,HOMME,775.0,,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,,,,,,,,,,,,,,,,,,,,
Furet,,,,,HOMME,491.0,,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,
Brare,,,,,HOMME,345.0,True,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,
Garm,,,,,HOMME,513.0,,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,
Arthied,Desi,,,,HOMME,287.0,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,
Bill,Duff,,,,HOMME,328.0,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,,,,,,,,,,,,,,,,,,,,
Sintary,,,,,HOMME,822.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,,,,,,,,,,,,,,,,,,,,
V’line,,,Clarinath,bronze,HOMME,908.0,,0,3,0,0,0,18,0,0,0,0,0,0,0,2,0,23,,,,,,,,,,,,,,,,,,,,
Garben,,,,,HOMME,509.0,,16,1,1,0,3,2,0,0,0,0,0,0,0,0,0,23,,,,,,,,,,,,,,,,,,,,
Dieter,Clissmann,,,,HOMME,431.0,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,,,,,,,,,,,,,,,,,,,,
Jacob,Chernoff,,,,HOMME,558.0,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,,,,,,,,,,,,,,,,,,,,
G’don,,,,,HOMME,495.0,,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22,,,,,,,,,,,,,,,,,,,,
Jol,,,,,HOMME,578.0,,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22,,,,,,,,,,,,,,,,,,,,
Otto,Hegelman,,,,HOMME,712.0,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,,,,,,,,,,,,,,,,,,,,
Horon,,,,,HOMME,547.0,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19,21,,,,,,,,,,,,,,,,,,,,
S’lan,Selessan,Sellie,Binth,bronze,HOMME,783.0,,0,0,0,0,0,0,0,7,0,0,0,0,0,0,14,21,,,,,,,,,,,,,,,,,,,,
Samvel,,,,,HOMME,794.0,,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,21,,,,,,,,,,,,,,,,,,,,
Jarrol,,,,,HOMME,561.0,,0,1,0,0,0,1,0,0,0,0,0,0,0,19,0,21,,,,,,,,,,,,,,,,,,,,
D’nol,,,Valenth,bronze,HOMME,414.0,,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,21,,,,,,,,,,,,,,,,,,,,
Gostol,,,,,HOMME,527.0,,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,21,,,,,,,,,,,,,,,,,,,,
A’murry,,,Granth,vert,HOMME,271.0,,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21,,,,,,,,,,,,,,,,,,,,
F’duril,,,Dilenth,bleu,HOMME,451.0,,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21,,,,,,,,,,,,,,,,,,,,
Peterpar,,,,,HOMME,735.0,,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21,,,,,,,,,,,,,,,,,,,,
Bastom,,,,,HOMME,311.0,,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21,,,,,,,,,,,,,,,,,,,,
Desi,Arthied,,,,HOMME,429.0,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,,,,,,,,,,,,,,,,,,,,
St’ven,,,Mealth,brun,HOMME,828.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,,,,,,,,,,,,,,,,,,,,
Terentel,,,,,HOMME,866.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,,,,,,,,,,,,,,,,,,,,
Sograny,,,,,HOMME,824.0,,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,20,,,,,,,,,,,,,,,,,,,,
Olodkey,,,,,HOMME,707.0,,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,,,,,,,,,,,,,,,,,,,,
Brolly,,,,,HOMME,358.0,,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,20,,,,,,,,,,,,,,,,,,,,
Ogolly,,,,,HOMME,704.0,,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,
F’neldril,,,Mnanth,brun,HOMME,456.0,,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,
Runel,,,,,HOMME,779.0,True,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,
L’mal,,,Clinnith,bronze,HOMME,608.0,True,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,
Hegmon,,,,,HOMME,542.0,,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,
Petey,Pete,,,,HOMME,736.0,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,
Candler ,,,,,HOMME,375.0,,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,,,,,,,,,,,,,,,,,,,,
Bourdon,,,,,HOMME,341.0,,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,19,,,,,,,,,,,,,,,,,,,,
Theng,,,,,HOMME,870.0,,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,19,,,,,,,,,,,,,,,,,,,,
D’say,,,Kritith,bronze,HOMME,416.0,,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,19,,,,,,,,,,,,,,,,,,,,
Batim,,,,,HOMME,312.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,,,,,,,,,,,,,,,,,,,,
Tilgin,,,,,HOMME,876.0,,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,,,,,,,,,,,,,,,,,,,,
G’sel,,,Roth,vert,HOMME,502.0,,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,18,,,,,,,,,,,,,,,,,,,,
Evarel,,,,,HOMME,448.0,,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18,,,,,,,,,,,,,,,,,,,,
Sucho,,,,,HOMME,833.0,,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18,,,,,,,,,,,,,,,,,,,,
Targus,,,,,HOMME,860.0,,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18,,,,,,,,,,,,,,,,,,,,
Tortole,,,,,HOMME,892.0,,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18,,,,,,,,,,,,,,,,,,,,
Kanadin,K’din,,Bulith,brun,HOMME,593.0,,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,,,,,,,,,,,,,,,,,,,,
Chesmic,,,,,HOMME,383.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,,,,,,,,,,,,,,,,,,,,
Sev,Ritecamp,,,,HOMME,807.0,,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,17,,,,,,,,,,,,,,,,,,,,
