Id unique,NOMS HUMAINS,SECOND NOM,TROISIEME NOM,aliases
316.0,Belesdan,Belesden,,Belesdan Belesden | Belesdan | Belesden
317.0,Belterac,,,Belterac
318.0,Bendarek,,,Bendarek
319.0,Benelek,,,Benelek
320.0,Benini,,,Benini
321.0,Benis,,,Benis
322.0,Berchar,Berch,,Berchar Berch | Berchar | Berch
323.0,Berdine,,,Berdine
324.0,Besel,,,Besel
325.0,Besic,,,Besic
326.0,Bessel,,,Bessel
327.0,Bestrum,,,Bestrum
328.0,Bill,Duff,,Bill Duff | Bill | Duff
329.0,Binness,,,Binness
330.0,Birsan,,,Birsan
331.0,Blesserel,,,Blesserel
332.0,Bloors,,,Bloors
333.0,Bob,Jorgensen,,Bob Jorgensen | Jorgensen | Bob
334.0,Bob,Jepson,,Bob Jepson | Jepson | Bob
335.0,Bonz,,,Bonz
336.0,Borel,,,Borel
337.0,Borgald,Amhold,,Borgald Amhold | Borgald | Amhold
338.0,Boris,Pahlevi,,Boris Pahlevi | Pahlevi | Boris
339.0,Boskoney,,,Boskoney
340.0,Bosler,,,Bosler
341.0,Bourdon,,,Bourdon
342.0,Brace,,,Brace
343.0,Brahil,,,Brahil
344.0,Brand,,,Brand
344.0,Brand,,,Brand
345.0,Brare,,,Brare
346.0,Bravonner,,,Bravonner
347.0,Breide,,,Breide
348.0,Brenton,,,Brenton
349.0,Brestolli,,,Brestolli
350.0,Brever,,,Brever
351.0,Brian,,,Brian
352.0,Briaret,,,Briaret
353.0,Bridgely,,,Bridgely
354.0,Brinaret,,,Brinaret
355.0,Briskin,,,Briskin
356.0,Bristol,,,Bristol
357.0,Brodo,,,Brodo
358.0,Brolly,,,Brolly
359.0,Brookie,,,Brookie
360.0,Brosil,,,Brosil
361.0,Brudegan,Bruddie,,Brudegan Bruddie | Brudegan | Bruddie
362.0,Burdion,,,Burdion
363.0,C’gan,,,C’gan
364.0,C’rob,,,C’rob
365.0,C’tarel,,,C’tarel
366.0,C’ver,,,C’ver
367.0,C’vert,,,C’vert
368.0,C’vrel,,,C’vrel
369.0,Cabot,Francis,Carter,Cabot Francis Carter | Francis Carter | Cabot Francis | Cabot Carter | Francis | Carter | Cabot
370.0,Caesar,Galliani,,Caesar Galliani | Galliani | Caesar
371.0,Calewis,,,Calewis
372.0,Camo,,,Camo
373.0,Camo,,,Camo
374.0,Campen,,,Campen
375.0,Candler ,,,Candler
376.0,Canell,,,Canell
377.0,Capiam,,,Capiam
378.0,Caselon,,,Caselon
379.0,Ch’mon,,,Ch’mon
380.0,Chad,,,Chad
381.0,Chaldon,,,Chaldon
382.0,Chalkin,,,Chalkin
383.0,Chesmic,,,Chesmic
384.0,Chichis-Fusi,,,Chichis-Fusi
385.0,Childon,,,Childon
386.0,Chochol,,,Chochol
387.0,Chomas,,,Chomas
388.0,Chuck,Havers,,Chuck Havers | Havers | Chuck
389.0,Chuck,Kimmage,,Chuck Kimmage | Kimmage | Chuck
390.0,Chung,,,Chung
391.0,Ciparis,,,Ciparis
392.0,Clagesh,,,Clagesh
393.0,Clell,,,Clell
394.0,Clim,,,Clim
395.0,Clisser,Cliss,,Clisser Cliss | Clisser | Cliss
396.0,Clostan,,,Clostan
397.0,Cobber,Alhinwa,,Cobber Alhinwa | Alhinwa | Cobber
398.0,Cogneur,,,Cogneur
399.0,Colmin,,,Colmin
400.0,Conwy,,,Conwy
401.0,Cording,,,Cording
402.0,Corman,,,Corman
403.0,Cr’not,,,Cr’not
404.0,Creline,,,Creline
405.0,Crenden,Cren,,Crenden Cren | Crenden | Cren
406.0,Crivelan,Crivellan-aux-doigts-agiles,,Crivelan Crivellan-aux-doigts-agiles | Crivellan-aux-doigts-agiles | Crivelan
407.0,Curmir,,,Curmir
408.0,Curran,,,Curran
409.0,D’clan,,,D’clan
410.0,D’fio,,,D’fio
411.0,D’miel,,,D’miel
412.0,D’namal,,,D’namal
413.0,D’nek,,,D’nek
414.0,D’nol,,,D’nol
415.0,D’ram,,,D’ram
416.0,D’say,,,D’say
417.0,D’wer,,,D’wer
418.0,Dag,,,Dag
419.0,Dangel,,,Dangel
420.0,Dannell,,,Dannell
421.0,David,Catarel,Dave,David Catarel Dave | David Catarel | Catarel Dave | David Dave | Catarel | David | Dave
422.0,Deckter,,,Deckter
423.0,Declan,,,Declan
424.0,Deece,,,Deece
425.0,Deefer,,,Deefer
426.0,Deegan,,,Deegan
427.0,Denol,,,Denol
428.0,Dermently,,,Dermently
429.0,Desi,Arthied,,Desi Arthied | Arthied | Desi
430.0,Diatis,,,Diatis
431.0,Dieter,Clissmann,,Dieter Clissmann | Clissmann | Dieter
432.0,Dirzan,,,Dirzan
433.0,Domaize,,,Domaize
434.0,Domick,,,Domick
435.0,Doral,,,Doral
436.0,Dorse,,,Dorse
437.0,Drake,Bonneau,,Drake Bonneau | Bonneau | Drake
438.0,Dugall,,,Dugall
439.0,Dushik,,,Dushik
440.0,Eddik,,,Eddik
441.0,Elgion,,,Elgion
442.0,Emilin,,,Emilin
443.0,Emsor,,,Emsor
444.0,Eric,Hegelman,,Eric Hegelman | Hegelman | Eric
445.0,Erkin,,,Erkin
446.0,Erragon,,,Erragon
447.0,Esselin,,,Esselin
448.0,Evarel,,,Evarel
449.0,Evenek,,,Evenek
450.0,Ezra,Keroon,,Ezra Keroon | Keroon | Ezra
