NOMS HUMAINS,SECOND NOM,TROISIEME NOM,NOMS DRAGONS,COULEUR DRAGON,H/F/O,Id unique,Mort,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences
Belesdan,Belesden,,,,HOMME,316.0,,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,6
Belterac,,,,,HOMME,317.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14
Ben,,,,,,949.0,,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,7
Bendarek,,,,,HOMME,318.0,,0,1,0,0,0,2,0,0,16,0,1,0,7,37,1,65
Benelek,,,,,HOMME,319.0,,0,6,0,0,0,1,0,0,0,0,2,0,18,38,6,71
Benini,,,,,HOMME,320.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
Benis,,,,,HOMME,321.0,,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35
Benoria,,,,,FEMME,28.0,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Berchar,Berch,,,,HOMME,322.0,True,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,40
Berdine,,,,,HOMME,323.0,,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12
Besel,,,,,HOMME,324.0,,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15
Besic,,,,,HOMME,325.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
Bessel,,,,,HOMME,326.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bessera,,,Odioth,reine,FEMME,29.0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Bestrum,,,,,HOMME,327.0,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
Bethany,,,,,FEMME,30.0,,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,44
Betrice,,,,,FEMME,31.0,True,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,73
Betsy,,,,,,950.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Betty,Musgrave,Blake,,,FEMME,32.0,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Bill,Duff,,,,HOMME,328.0,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Binness,,,,,HOMME,329.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44
Birsan,,,,,HOMME,330.0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Birto,,,,bronze,,951.0,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Blesserel,,,,,HOMME,331.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30
Bloors,,,,,HOMME,332.0,,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9
Bob,Jorgensen,,,,HOMME,333.0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bob,Jepson,,,,HOMME,334.0,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Bonna,,,,,FEMME,33.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bonz,,,,,HOMME,335.0,,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,13
Boranda,,,,,FEMME,34.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Borel,,,,,HOMME,336.0,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
Borgald,Amhold,,,,HOMME,337.0,,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,46
Boris,Pahlevi,,,,HOMME,338.0,,22,0,14,0,0,0,0,0,0,0,0,0,0,0,0,36
Boskoney,,,,,HOMME,339.0,,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Bosler,,,,,HOMME,340.0,,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15
Bourdon,,,,,HOMME,341.0,,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,19
Brace,,,,,HOMME,342.0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
Brahil,,,,,HOMME,343.0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Brand,,,,bleu,HOMME,344.0,,0,0,0,0,0,3,0,1,0,0,0,0,34,47,7,92
Brand,,,,lézard bleu,HOMME,344.0,,0,0,0,0,0,3,0,1,0,0,0,0,34,47,7,92
Brare,,,,,HOMME,345.0,True,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24
Brashia,,,,,FEMME,35.0,,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11
Bravonner,,,,,HOMME,346.0,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
Breda,,,,,FEMME,36.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
Breide,,,,,HOMME,347.0,,0,0,0,0,0,43,0,0,0,0,0,0,0,12,0,55
Brekke,Brekker,,Berd,bronze,FEMME,37.0,,0,0,0,0,0,16,0,0,375,37,16,7,165,10,6,632
Brekke,,,Wirenth,reine,FEMME,37.0,,0,0,0,0,0,16,0,0,375,37,16,7,164,10,6,631
Brekke,,,Berd,lézard de feu bronze,FEMME,37.0,,0,0,0,0,0,16,0,0,375,37,16,7,164,10,6,631
Brenton,,,,,HOMME,348.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Brestolli,,,,,HOMME,349.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
Brever,,,,,HOMME,350.0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Briala,,,,,FEMME,38.0,,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24
Brian,,,,,HOMME,351.0,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Briaret,,,,,HOMME,352.0,,0,0,0,0,0,6,0,0,0,0,0,1,1,2,0,10
Bridgely,,,,,HOMME,353.0,,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,85
Brinaret,,,,,HOMME,354.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Brindel,,,,,,952.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Brinna,,,,,FEMME,39.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Briskin,,,,,HOMME,355.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Bristol,,,,,HOMME,356.0,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Brodo,,,,,HOMME,357.0,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Brolly,,,,,HOMME,358.0,,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,20
Brookie,,,,,HOMME,359.0,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
Brosil,,,,,HOMME,360.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Brudegan,Bruddie,,,,HOMME,361.0,,0,0,0,0,0,0,0,0,14,0,41,0,0,0,0,55
Burdion,,,,,HOMME,362.0,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
C’gan,,,Tagath,bleu,HOMME,363.0,True,0,0,0,0,0,0,50,17,2,0,0,0,0,0,0,69
C’reel ,,,Galuth,brun,,953.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30
C’rob,,,Spakinth,,HOMME,364.0,,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,30
C’tarel,,,,,HOMME,365.0,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
C’ver,,,Hogarth,brun,HOMME,366.0,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6
C’vert,,,,,HOMME,367.0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
C’vrel,,,,,HOMME,368.0,,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14
Cabot,Francis,Carter,,,HOMME,369.0,,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
Caesar,Galliani,,,,HOMME,370.0,True,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Calewis,,,,,HOMME,371.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
