full_name,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15
Jim Tillek James 573.0,0.004306891099608673,0.00404555168850582,0.00010565352645214207,0.00021107356033233795,5.2165058591793804e-05,1.9774569903104608e-05,0.0014505483878766389,3.9623784297822064e-05,0.00033219452192589775,1.3237353694148293e-06,6.196102513827635e-06,2.9727598582290826e-06,2.180286530530484e-05,0.0003768669527368847,7.92931740776069e-05
Grogellan 531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gennell 521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030407523510971788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G’lanar 497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040689325035902345,0.0
Fax 468.0,3.0870449733978365e-05,4.134969065836977e-06,0.0,0.0,0.0,0.000218609099603771,0.017679582621090553,0.035200474696009613,4.6842233308868025e-06,0.0,0.0,5.135007037527146e-07,8.473782352783331e-06,3.401051094840861e-06,2.917647455471027e-06
Faroguy 467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006426332288401254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farevene 464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025078369905956114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F’lon Falloner 455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0674154169843825,3.471543263930807e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Esselin 447.0,0.0,0.0,0.0,0.0,0.0,0.0012573820737086044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022065695593699425,0.0017799563702100662
Ch’mon 379.0,0.0,0.0,0.0,0.0005585552038726494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caesar Galliani 370.0,0.002010916403332376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C’gan 363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056789786924719456,0.0013175230566534915,9.555136722062571e-06,0.0,0.0,0.0,0.0,0.0,0.0
Brare 345.0,0.0,0.0,0.0,0.0,0.0,0.0037676609105180532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berchar Berch 322.0,0.0,0.0,0.0,0.007447402718301992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barly 307.0,0.0,0.0,0.0,0.0003723701359150996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B’ner 295.0,0.0,0.0,0.0024319066147859923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armald 283.0,0.0,0.0,0.0,0.0,0.0,0.003924646781789639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suriana 243.0,0.0,0.0,0.0,9.027154810063021e-05,0.020685753640299096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silma 230.0,0.0,0.0,0.0,0.0,0.0016233766233766235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sallah Telgar-Andiyar 217.0,0.03916529297846715,0.0,0.0,0.0,0.0,4.952235686800806e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001827206654052397,0.0
Pendra 201.0,0.0,0.0,0.0,0.0022696846379587025,0.0009662956091527518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moreta Moretta 179.0,0.0,0.0,0.0,0.1970509609498497,0.0011553328128264622,0.0,1.194460886714675e-06,1.305135655533682e-05,1.395648674475693e-07,0.0,1.451295212948093e-05,0.0,0.0,0.0,1.3908852814819543e-06
Milla 175.0,0.0,0.0,0.00032425421530479895,0.0,0.0,0.0,5.22466039707419e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merin 172.0,0.0,0.0,0.0,0.0,0.0016233766233766235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merelan 170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05250968642790431,0.0,0.0,0.0,3.159991973620387e-06,0.0,0.0,0.0,0.0
Mercia 169.0,0.0,0.0,0.0,0.0,0.0008116883116883117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucy Tubberman 151.0,0.0117086741559443,0.0,4.095842719639566e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7290900183475665e-05
