sentence_id,book,part,chapter,pdf_page,start_pdf_page,end_pdf_page,text,text_lemma
16702,Le Seigneur des Anneaux,,,286,286,291,"On aurait dit qu'il y avait derrière un énorme puits, rempli de siècles de souvenirs et d'une longue, lente et solide réflexion, mais la surface scintillait du présent: comme le soleil qui miroite sur les feuilles extérieures d'un vaste arbre ou sur les ondulations d'un lac très profond.","On avoir dire queil y avoir derrière un énorme puits, remplir de siècle de souvenir et deun long, lent et solide réflexion, mais le surface scintiller de présent: comme le soleil qui miroiter sur le feuille extérieur deun vaste arbre ou sur le ondulation deun lac très profond."
16703,Le Seigneur des Anneaux,,,286,286,291,"Je ne sais pas, mais on avait l'impression d'une chose qui pousserait dans la terre d'endormie, pour ainsi dire ou qui se sentirait entre l'extrémité de la racine et le bout de la feuille, entre la terre profonde et le ciel, se serait soudain éveillée et vous considérerait avec la même lente attention qu'elle aurait consacrée à ses propres affaires intérieures durant des années sans fin» «Hrum, Houm, murmura la voix, une voix profonde comme celle d'un bois très grave.","Je ne savoir pas, mais on avoir leimpression deun chose qui pousser dans le terre deendormie, pour ainsi dire ou qui se sentir entrer leextrémité de le racine et le bout de le feuille, entrer le terre profond et le ciel, se être soudain éveiller et vous considérer avec le même lent attention quelui avoir consacrer à son propre affaire intérieur durer un année sans fin» «Hrum, Houm, murmurer le voix, un voix profond comme celui deun bois très grave."
16704,Le Seigneur des Anneaux,,,286,286,291,"Très curieux, assurément!","Très curieux, assurément!"
16705,Le Seigneur des Anneaux,,,286,286,291,"Pas de jugement hâtif, c'est ma devise.","Pas de jugement hâtif, ceêtre mon devise."
16706,Le Seigneur des Anneaux,,,286,286,291,"Mais si je vous avais vus avant d'entendre vos voix je les ai aimées, de jolies petites voix, elles me faisaient penser à quelque chose que je ne puis me rappeler si je vous avais vus avant de vous entendre, je vous aurais simplement écrasés, vous prenant pour de petits Orques, et j'aurais ensuite découvert mon erreur.","Mais si je vous avoir voir avant deentendre votre voix je le avoir aimer, de jolie petit voix, lui me faire penser à quelque chose que je ne pouvoir me rappeler si je vous avoir voir avant de vous entendre, je vous avoir simplement écraser, vous prendre pour de petit Orque, et jeavoir ensuite découvrir mon erreur."
16707,Le Seigneur des Anneaux,,,286,286,291,"Vous êtes très curieux, assurément.","Vous être très curieux, assurément."
16708,Le Seigneur des Anneaux,,,286,286,291,"Racine et ramille, très curieux!","Racine et ramille, très curieux!"
16709,Le Seigneur des Anneaux,,,286,286,291,"» Pippin, quoique toujours étonné, n'avait plus de crainte.","» Pippin, quoique toujours étonner, neavoir plus de crainte."
16710,Le Seigneur des Anneaux,,,286,286,291,"Il sentait sous ces yeux une curieuse incertitude, mais point de peur. «","Il sentir sou ce oeil un curieux incertitude, mais point de peur. «"
16711,Le Seigneur des Anneaux,,,286,286,291,"Qui êtesvous, je vous prie?","Qui êtesvous, je vous prier?"
