sentence_id,book,part,chapter,pdf_page,start_pdf_page,end_pdf_page,text,text_lemma
4936,Le Seigneur des Anneaux,,,88,88,90,Le seigneur des anneaux Page 88 sur 88,Le seigneur de anneau Page 88 sur 88
4937,Le Seigneur des Anneaux,,,88,88,90,PREMIERE PARTIE,PREMIERE PARTIE
4938,Le Seigneur des Anneaux,,,88,88,90,La communauté de l'anneau Livre I,Le communauté de leanneau Livre I
4939,Le Seigneur des Anneaux,,,88,88,90,CHAPITRE HUIT,CHAPITRE HUIT
4940,Le Seigneur des Anneaux,,,88,88,90,BROUILLARD,BROUILLARD
4941,Le Seigneur des Anneaux,,,88,88,90,SUR LES HAUT DES GALGALS,SUR LE HAUT DE GALGALS
4942,Le Seigneur des Anneaux,,,88,88,90,Leur allure était très lente.,Son allure être très lent.
4943,Le Seigneur des Anneaux,,,88,88,90,"Pour éviter d'être séparés et de s'égarer dans des directions différentes, ils marchaient à la file, Frodon en tête.","Pour éviter deêtre séparer et de seégarer dans un direction différent, il marcher à le file, Frodon en tête."
4944,Le Seigneur des Anneaux,,,88,88,90,"Sam était derrière lui, et après venaient Pippin, puis Merry.","Sam être derrière luire, et après venir Pippin, pouvoir Merry."
4945,Le Seigneur des Anneaux,,,88,88,90,La vallée semblait s'étendre sans fin.,Le vallée sembler seétendre sans fin.
4946,Le Seigneur des Anneaux,,,88,88,90,"Soudain, Frodon vit un signe encourageant.","Soudain, Frodon voir un signe encourageant."
4947,Le Seigneur des Anneaux,,,88,88,90,"De part et d'autre, une ombre commença d'apparaître dans la brume, et il devina qu'ils approchaient enfin de la trouée entre les collines, la porte nord des Hauts des Galgals.","De part et deautre, un ombre commencer deapparaître dans le brume, et il deviner queil approcher enfin de le trouée entrer le colline, le porte nord de Haut de Galgal."
4948,Le Seigneur des Anneaux,,,88,88,90,"S'ils pouvaient passer, ils seraient libres.","SEil pouvoir passer, il être libre."
4949,Le Seigneur des Anneaux,,,88,88,90,- Venez!,- Venez!
4950,Le Seigneur des Anneaux,,,88,88,90,Suivez-moi!,Suivremoi!
4951,Le Seigneur des Anneaux,,,88,88,90,Cria t'il par,Crier teil par
4952,Le Seigneur des Anneaux,,,88,88,90,-dessus son épaule.,-dessus son épaule.
4953,Le Seigneur des Anneaux,,,88,88,90,Et il s'élança en avant.,Et il seélancer en avant.
4954,Le Seigneur des Anneaux,,,88,88,90,Mais son espoir se mua bientôt en un ahurissement alarmé.,Mais son espoir se muer bientôt en un ahurissement alarmé.
4955,Le Seigneur des Anneaux,,,88,88,90,"Les taches sombres se faisaient plus sombres encore, mais elles rétrécissaient, et tout à coup il vit, dressées devant lui de façon menaçante et légèrement penchées l'une vers l'autre comme les montants d'un portail sans linteau, deux énormes pierres levées.","Le tache sombre se faire plus sombre encore, mais lui rétrécir, et tout à coup il voir, dresser devant luire de façon menaçant et légèrement pencher leun vers leautre comme le montant deun portail sans linteau, deux énorme pierre lever."
4956,Le Seigneur des Anneaux,,,88,88,90,II,II
4957,Le Seigneur des Anneaux,,,88,88,90,"ne se rappelait pas en avoir vu aucun signe dans la vallée, quand il avait regardé le matin du haut de la colline.","ne se rappeler pas en avoir voir aucun signe dans le vallée, quand il avoir regarder le matin de haut de le colline."
4958,Le Seigneur des Anneaux,,,88,88,90,Il avait déjà presque passé entre elles quand il s'en aperçut: Et à ce moment même l'obscurité parut tomber autour de lui.,Il avoir déjà presque passer entrer lui quand il seen apercevoir: Et à ce moment même leobscurité paraître tomber autour de luire.
4959,Le Seigneur des Anneaux,,,88,88,90,"Son poney se cabra et s'ébroua, et il tomba à terre.","Son poney se cabra et seébroua, et il tomber à terre."
4960,Le Seigneur des Anneaux,,,88,88,90,"Quand il regarda en arrière, il vit qu'il était seul:","Quand il regarder en arrière, il voir queil être seul:"
4961,Le Seigneur des Anneaux,,,88,88,90,Les autres ne l'avaient pas suivi.,Le autre ne leavoir pas suivre.
4962,Le Seigneur des Anneaux,,,88,88,90,- Sam!,- Sam!
4963,Le Seigneur des Anneaux,,,88,88,90,Cria t'il.,Crier teil.
4964,Le Seigneur des Anneaux,,,88,88,90,Pippin !,Pippin !
4965,Le Seigneur des Anneaux,,,88,88,90,Merry!,Merry!
4966,Le Seigneur des Anneaux,,,88,88,90,Venez!,Venir!
4967,Le Seigneur des Anneaux,,,88,88,90,Pourquoi restez-vous en arrière?,Pourquoi restervous en arrière?
4968,Le Seigneur des Anneaux,,,88,88,90,Il n'y eut pas de réponse.,Il ney avoir pas de réponse.
4969,Le Seigneur des Anneaux,,,88,88,90,"La peur le saisit, et il retourna en courant au-delà des pierres, criant éperdument:","Le peur le saisit, et il retourner en courant au-delà de pierre, crier éperdument:"
4970,Le Seigneur des Anneaux,,,88,88,90,- Sam!,- Sam!
4971,Le Seigneur des Anneaux,,,88,88,90,Sam!,Sam!
4972,Le Seigneur des Anneaux,,,88,88,90,Merry!,Merry!
4973,Le Seigneur des Anneaux,,,88,88,90,Pippin !,Pippin !
4974,Le Seigneur des Anneaux,,,88,88,90,Le poney déguerpit et s'évanouit dans la brume.,Le poney déguerpit et seévanouir dans le brume.
4975,Le Seigneur des Anneaux,,,88,88,90,"De quelque distance, à ce qu'il lui sembla, il crut entendre un appel: «Ohé!","De quelque distance, à ce queil luire sembler, il croire entendre un appel: «Ohé!"
4976,Le Seigneur des Anneaux,,,88,88,90,Frodon!,Frodon!
4977,Le Seigneur des Anneaux,,,88,88,90,Ohé!,Ohé!
4978,Le Seigneur des Anneaux,,,88,88,90,"» Cela venait de l'est, sur sa gauche alors qu'il était debout sous les grandes pierres, les yeux écarquillés et tendus dans l'obscurité.","» Celer venir de leêtre, sur son gauche alors queil être debout sou le grand pierre, le oeil écarquiller et tendre dans leobscurité."
4979,Le Seigneur des Anneaux,,,88,88,90,II plongea en direction de l'appel et se trouva en train de gravir une pente escarpée.,II plonger en direction de leappel et se trouver en train de gravir un pente escarpé.
4980,Le Seigneur des Anneaux,,,88,88,90,"Tout en avançant péniblement, il appela de nouveau et continua de le faire de plus en plus frénétiquement, mais il n'entendit aucune réponse pendant quelque temps, et puis elle vint, faible, de loin en avant et au-dessus de lui.","Tout en avancer péniblement, il appeler de nouveau et continuer de le faire de plus en plus frénétiquement, mais il neentendre aucun réponse pendant quelque temps, et pouvoir lui venir, faible, de loin en avant et au-dessus de luire."
4981,Le Seigneur des Anneaux,,,88,88,90,«Frodon!,«Frodon!
4982,Le Seigneur des Anneaux,,,88,88,90,Ohé!,Ohé!
4983,Le Seigneur des Anneaux,,,88,88,90,» Disaient les minces,» Disaient le mince
4984,Le Seigneur des Anneaux,,,88,88,90,voix,voix
4985,Le Seigneur des Anneaux,,,88,88,90,issues de la brume,issu de le brume
4986,Le Seigneur des Anneaux,,,88,88,90,", puis il y eut un cri qui paraissait être «au secours!",", pouvoir il y avoir un cri qui paraître être «au secours!"
4987,Le Seigneur des Anneaux,,,88,88,90,"au secours! » Plusieurs fois répété, qui s'acheva sur un dernier «au secours!","au secours! » Plusieurs fois répéter, qui seachever sur un dernier «au secours!"
4988,Le Seigneur des Anneaux,,,88,88,90,» et se perdit dans une longue plainte subitement interrompue.,» et se perdre dans un long plainte subitement interrompre.
4989,Le Seigneur des Anneaux,,,88,88,90,"II se précipita en trébuchant en direction des cris, mais la lumière était partie et la nuit l'enveloppait de toutes parts, de sorte qu'il était impossible d'être assuré d'une direction quelconque.","II se précipiter en trébucher en direction de cri, mais le lumière être partie et le nuit leenvelopper de tout part, de sorte queil être impossible deêtre assurer deun direction quelconque."
4990,Le Seigneur des Anneaux,,,88,88,90,Il lui semblait tout le temps et toujours grimper.,Il luire sembler tout le temps et toujours grimper.
4991,Le Seigneur des Anneaux,,,88,88,90,Seul le changement du niveau du sol sous ses pieds lui indiqua qu'il était enfin parvenu au sommet d'une croupe ou d'une colline.,Seul le changement de niveau de sol sou son pied luire indiquer queil être enfin parvenir au sommet deun croupe ou deun colline.
4992,Le Seigneur des Anneaux,,,88,88,90,"Il était fatigué, transpirant et pourtant glacé.","Il être fatiguer, transpirant et pourtant glacer."
4993,Le Seigneur des Anneaux,,,88,88,90,II faisait totalement noir.,II faire totalement noir.
4994,Le Seigneur des Anneaux,,,88,88,90,- Où êtes-vous?,- Où êtrevous?
4995,Le Seigneur des Anneaux,,,88,88,90,cria t'il lamentablement.,crier teil lamentablement.
4996,Le Seigneur des Anneaux,,,88,88,90,Il n'y eut pas de réponse.,Il ney avoir pas de réponse.
4997,Le Seigneur des Anneaux,,,88,88,90,Il resta l'oreille tendue.,Il rester leoreille tendre.
4998,Le Seigneur des Anneaux,,,88,88,90,"Il se rendit soudain compte qu'il commençait à faire très froid, et que là-haut le vent se mettait à souffler, un vent glacial.","Il se rendre soudain compte queil commencer à faire très froid, et que là-haut le vent se mettre à souffler, un vent glacial."
4999,Le Seigneur des Anneaux,,,88,88,90,Un changement se produisait dans le temps.,Un changement se produire dans le temps.
5000,Le Seigneur des Anneaux,,,88,88,90,La brume dérivait à présent en lambeaux et en filaments.,Le brume dériver à présent en lambeau et en filament.
5001,Le Seigneur des Anneaux,,,88,88,90,"Le souffle de Frodon fumait, et les ténèbres étaient moins proches et moins épaisses.","Le souffle de Frodon fumer, et le ténèbre être moins proche et moins épais."
5002,Le Seigneur des Anneaux,,,88,88,90,Il leva les yeux et vit avec surprise que des étoiles apparaissaient faiblement parmi les traînées rapides des nuages et du brouillard.,Il lever le oeil et voir avec surprise que un étoile apparaître faiblement parmi le traînée rapide de nuage et de brouillard.
5003,Le Seigneur des Anneaux,,,88,88,90,Le vent commençait à siffler dans l'herbe.,Le vent commencer à siffler dans leherbe.
5004,Le Seigneur des Anneaux,,,88,88,90,"Il s'imagina soudain entendre un cri étouffé, et il se dirigea de ce côté, et, tandis même qu'il s'avançait, la brume se replia, et le ciel étoilé se dévoila.","Il seimaginer soudain entendre un cri étouffer, et il se diriger de ce côté, et, tandis même queil seavancer, le brume se replier, et le ciel étoiler se dévoiler."
5005,Le Seigneur des Anneaux,,,88,88,90,Un coup d'œil lui montra qu'il était à présent face au Sud et qu'il se trouvait au sommet d'une colline ronde qu'il avait dû gravir par le Nord.,Un coup deœil luire montrer queil être à présent face au Sud et queil se trouver au sommet deun colline rond queil avoir devoir gravir par le Nord.
5006,Le Seigneur des Anneaux,,,88,88,90,Le vent mordant soufflait de l'est.,Le vent mordant souffler de leest.
5007,Le Seigneur des Anneaux,,,88,88,90,"A sa droite, se détachait sur la lueur des étoiles de l'Ouest une sombre et noire forme.","À son droite, se détacher sur le lueur de étoile de leOuest un sombre et noir forme."
5008,Le Seigneur des Anneaux,,,88,88,90,"Là, se dressait un grand Galgal.","Là, se dresser un grand Galgal."
5009,Le Seigneur des Anneaux,,,88,88,90,- Où êtes vous?,- Où être vous?
5010,Le Seigneur des Anneaux,,,88,88,90,"cria t'il encore, partagé entre l'irritation et la peur.","crier teil encore, partager entrer leirritation et le peur."
5011,Le Seigneur des Anneaux,,,88,88,90,"- Ici! dit une voix grave et froide, qui semblait sortir de terre.","- Ici! dire un voix grave et froid, qui sembler sortir de terre."
5012,Le Seigneur des Anneaux,,,88,88,90,- Non!,- Non!
5013,Le Seigneur des Anneaux,,,88,88,90,S'écria Frodon.,SEécria Frodon.
5014,Le Seigneur des Anneaux,,,88,88,90,Je t'attends!,Je teattendre!
5015,Le Seigneur des Anneaux,,,88,88,90,Mais il ne s'enfuit pas.,Mais il ne seenfuir pas.
5016,Le Seigneur des Anneaux,,,88,88,90,"Ses genoux cédèrent, et il tomba sur le sol.","Son genou céder, et il tomber sur le sol."
5017,Le Seigneur des Anneaux,,,88,88,90,"Rien ne se passa, et il n'y eut pas le moindre son.","Rien ne se passer, et il ney avoir pas le moindre son."
5018,Le Seigneur des Anneaux,,,88,88,90,"Tremblant, il leva les yeux, à temps pour voir une haute et sombre forme comme une ombre devant les étoiles.","Tremblant, il lever le oeil, à temps pour voir un haut et sombre forme comme un ombre devant le étoile."
5019,Le Seigneur des Anneaux,,,88,88,90,Elle se penchait sur lui.,Lui se pencher sur luire.
5020,Le Seigneur des Anneaux,,,88,88,90,"II crut voir deux yeux, très froids bien qu'éclairés d'une pâle lueur qui semblait venir d'une très grande distance.","II croire voir deux oeil, très froid bien queéclairer deun pâle lueur qui sembler venir deun très grand distance."
5021,Le Seigneur des Anneaux,,,88,88,90,"Puis il fut saisi d'une étreinte plus forte et plus froide que celle de 1,'acier.","Pouvoir il être saisir deun étreinte plus fort et plus froid que celui de 1,'acier."
5022,Le Seigneur des Anneaux,,,88,88,90,"Le contact glacial lui gela les os, et il ne se souvint plus de rien.","Le contact glacial luire gela le os, et il ne se souvenir plus de rien."
5023,Le Seigneur des Anneaux,,,88,88,90,"Quand il revint à lui, il ne put rien se rappeler pendant un moment, hormis un sentiment de terreur.","Quand il revenir à luire, il ne pouvoir rien se rappeler pendant un moment, hormi un sentiment de terreur."
5024,Le Seigneur des Anneaux,,,88,88,90,"Et puis, soudain, il sut qu'il était prisonnier, irrémédiablement saisi, il se trouvait dans un galgal.","Et pouvoir, soudain, il savoir queil être prisonnier, irrémédiablement saisir, il se trouver dans un galgal."
5025,Le Seigneur des Anneaux,,,88,88,90,"Un Etre des Galgals l'avait pris, et il était sans doute déjà soumis aux terribles charmes de ces Êtres dont parlaient les histoires murmurées de bouche à oreille.","Un Etre de Galgal leavoir prendre, et il être sans doute déjà soumettre à terrible charme de ce Être dont parler le histoire murmurer de bouche à oreille."
5026,Le Seigneur des Anneaux,,,88,88,90,"N'osant bouger, il restait tel qu'il s'était trouvé allongé, le dos sur une pierre froide et les mains sur la poitrine.","NEoser bouger, il rester tel queil seêtre trouver allongé, le dos sur un pierre froid et le main sur le poitrine."
5027,Le Seigneur des Anneaux,,,88,88,90,"Mais, bien que sa terreur fût si grande qu'elle paraissait faire partie des ténèbres mêmes qui l'environnaient, il se trouva, ainsi étendu, penser à Bilbon Sacquet, à ses histoires, à leurs courses dans les sentiers de la Comté et à leurs entretiens sur les routes et les aventures.","Mais, bien que son terreur être si grand quelui paraître faire partie de ténèbre même qui leenvironner, il se trouver, ainsi étendre, penser à Bilbon Sacquet, à son histoire, à leur course dans le sentier de le Comté et à leur entretien sur le route et le aventure."
5028,Le Seigneur des Anneaux,,,88,88,90,"II y a une graine de courage cachée (souvent profondément, il est vrai) au cœur du plus gras et du plus timide des Hobbits, attendant que quelque danger final et désespéré la fasse germer.","II y avoir un graine de courage cacher (souvent profondément, il être vrai) au cœur de plus gras et de plus timide de Hobbit, attendre que quelque danger final et désespéré le faire germer."
5029,Le Seigneur des Anneaux,,,88,88,90,"Frodon n'était ni très gras ni très timide, en fait, bien qu'il l'ignorât, Bilbon (et Gandalf) l'avait jugé le meilleur Le seigneur des anneaux Page 89 sur 89 PREMIERE","Frodon neêtre ni très gras ni très timide, en fait, bien queil leignorât, Bilbon (et Gandalf) leavoir juger le meilleur Le seigneur de anneau Page 89 sur 89 PREMIERE"
5030,Le Seigneur des Anneaux,,,88,88,90,PARTIE,PARTIE
5031,Le Seigneur des Anneaux,,,88,88,90,La communauté de l'anneau Livre I,Le communauté de leanneau Livre I
5032,Le Seigneur des Anneaux,,,88,88,90,CHAPITRE HUIT,CHAPITRE HUIT
5033,Le Seigneur des Anneaux,,,88,88,90,BROUILLARD,BROUILLARD
5034,Le Seigneur des Anneaux,,,88,88,90,SUR LES HAUT DES GALGALS Hobbit qui fût dans la Comté.,SUR LE HAUT DE GALGALS Hobbit qui être dans le Comté.
5035,Le Seigneur des Anneaux,,,88,88,90,"Il pensa être parvenu à la fin de son aventure, et une fin terrible, mais cette pensée le durcit.","Il penser être parvenir à le fin de son aventure, et un fin terrible, mais ce pensée le durcir."
5036,Le Seigneur des Anneaux,,,88,88,90,"Il se raidit, comme pour un bond final, il ne se sentit plus dépourvu d'énergie comme une proie sans ressource.","Il se raidir, comme pour un bond final, il ne se sentir plus dépourvu deénergie comme un proie sans ressource."
5037,Le Seigneur des Anneaux,,,88,88,90,"Étendu là, réfléchissant et reprenant son empire sur lui même, il remarqua aussitôt que les ténèbres cédaient lentement:","Étendre là, réfléchir et reprendre son empire sur luire même, il remarquer aussitôt que le ténèbre céder lentement:"
5038,Le Seigneur des Anneaux,,,88,88,90,Une lueur verdâtre s'accentuait autour de lui.,Un lueur verdâtre seaccentuer autour de luire.
5039,Le Seigneur des Anneaux,,,88,88,90,"Elle ne lui révéla pas tout d'abord en quel genre d'endroit il se trouvait, car elle semblait sortir de lui même et du sol à côté de lui, et elle n'avait pas encore atteint le plafond ou le mur.","Lui ne luire révéler pas tout deabord en quel genre deendroit il se trouver, car lui sembler sortir de luire même et de sol à côté de luire, et lui neavoir pas encore atteindre le plafond ou le mur."
5040,Le Seigneur des Anneaux,,,88,88,90,"Il se retourna, et là, dans la froide luminescence, il vit, couchés près de lui, Sam, Pippin et Merry.","Il se retourner, et là, dans le froid luminescence, il voir, coucher près de luire, Sam, Pippin et Merry."
5041,Le Seigneur des Anneaux,,,88,88,90,"Ils étaient sur le dos et leurs visages étaient d'une pâleur mortelle, et ils étaient vêtus de blanc.","Il être sur le dos et leur visage être deun pâleur mortel, et il être vêtir de blanc."
5042,Le Seigneur des Anneaux,,,88,88,90,"Autour d'eux étaient répandus de nombreux trésors, d'or peut-être, encore qu'à cette lumière ils parussent froids et sans beauté.","Autour delui être répandre de nombreux trésor, deor peut-être, encore queà ce lumière il paraître froid et sans beauté."
5043,Le Seigneur des Anneaux,,,88,88,90,"Sur la tête des Hobbits étaient des petits bandeaux d'or, il y avait des chaînes autour de leur taille, et à leurs doigts de nombreux anneaux.","Sur le tête de Hobbit être un petit bandeau deor, il y avoir un chaîne autour de son taille, et à leur doigt de nombreux anneau."
5044,Le Seigneur des Anneaux,,,88,88,90,"Des épées étaient posées à leur côté, et des boucliers à leurs pieds.","Un épée être poser à son côté, et de bouclier à leur pied."
5045,Le Seigneur des Anneaux,,,88,88,90,"Mais en travers de leur trois cous, se voyait une longue épée nue.","Mais en travers de son trois cou, se voir un long épée nu."
5046,Le Seigneur des Anneaux,,,88,88,90,"Soudain commença un chant: un froid murmure, qui s'élevait et retombait.","Soudain commencer un chant: un froid murmur, qui seélever et retomber."
5047,Le Seigneur des Anneaux,,,88,88,90,"La voix semblait lointaine et infiniment morne, tantôt flottant haut dans l'air et ténue, tantôt semblable à un sourd gémissement venu du sol.","Le voix sembler lointain et infiniment morne, tantôt flotter haut dans leair et ténu, tantôt semblable à un sourd gémissement venir de sol."
5048,Le Seigneur des Anneaux,,,88,88,90,"Dans le cours des tristes, mais horribles sons, des suites de mots se formaient de temps à autre: des mots sinistres, durs, froids, des mots cruels et misérables.","Dans le cours de triste, mais horrible son, de suite de mot se former de temps à autre: un mot sinistre, dur, froid, un mot cruel et misérable."
5049,Le Seigneur des Anneaux,,,88,88,90,"La nuit invectivait contre le matin dont elle était privée, et le froid maudissait la chaleur dont il avait soif.","Le nuit invectiver contre le matin dont lui être priver, et le froid maudire le chaleur dont il avoir soif."
5050,Le Seigneur des Anneaux,,,88,88,90,Frodon était glacé jusqu'à la moelle.,Frodon être glacer jusqueà le moelle.
5051,Le Seigneur des Anneaux,,,88,88,90,"Au bout d'un moment, le chant se fit plus clair et, la peur au cœur, il se rendit compte que c'était devenu une incantation: Froids soient la main et le cour et les os, Et froid soit le sommeil sous la pierre:","Au bout deun moment, le chant se faire plus clair et, le peur au cœur, il se rendre compte que ceêtre devenir un incantation: Froid être le main et le cour et le os, Et froid être le sommeil sou le pierre:"
5052,Le Seigneur des Anneaux,,,88,88,90,"Pour ne plus jamais s'éveiller sur son lit pierreux, Jamais jusqu'à ce que le soleil fasse défaut et que la lune soit morte Dans le vent noir les étoiles mourront, Et encore sur l'or qu'ils restent gisant Jusqu'à ce que le seigneur ténébreux lève sa main Sur la mer morte et la terre desséchée.","Pour ne plus jamais seéveiller sur son lit pierreu, Jamais jusqueà ce que le soleil fass défaut et que le lune être mort Dans le vent noir le étoile mourir, Et encore sur leor queil rester gésir Jusqueà ce que le seigneur ténébreux lever son main Sur le mer mort et le terre dessécher."
5053,Le Seigneur des Anneaux,,,88,88,90,Il entendit derrière sa tête un grincement et un grattement.,Il entendre derrière son tête un grincement et un grattement.
5054,Le Seigneur des Anneaux,,,88,88,90,"Se redressant sur un bras, il regarda et vit alors dans la pâle lumière qu'il y avait une sorte de passage qui, derrière eux, faisait un coude.","Se redresser sur un bras, il regarder et voir alors dans le pâle lumière queil y avoir un sorte de passage qui, derrière lui, faire un coude."
5055,Le Seigneur des Anneaux,,,88,88,90,"Dans celui ci, un long bras tâtonnait, marchant sur les doigts vers Sam, qui était étendu le plus près, et vers la poignée de l'épée posée sur lui.","Dans celui ci, un long bras tâtonnait, marcher sur le doigt vers Sam, qui être étendre le plus près, et vers le poignée de leépée poser sur luire."
5056,Le Seigneur des Anneaux,,,88,88,90,"Tout d'abord, Frodon eut l'impression d'avoir été mué en pierre par l'incantation.","Tout deabord, Frodon avoir leimpression deavoir être muer en pierre par leincantation."
5057,Le Seigneur des Anneaux,,,88,88,90,Puis il fut envahi par un désir furieux de s'échapper.,Pouvoir il être envahir par un désir furieux de seéchapper.
5058,Le Seigneur des Anneaux,,,88,88,90,"Il se demanda dans quelle mesure, s'il enfilait l'Anneau, l'Être des Galgals ne le verrait pas, et s'il pourrait découvrir une issue.","Il se demander dans quel mesure, seil enfiler leAnneau, leÊtre de Galgal ne le voir pas, et seil pouvoir découvrir un issue."
5059,Le Seigneur des Anneaux,,,88,88,90,"Il se vit courant, libre, sur l'herbe, affligé par la pensée de Merry, de Sam et de Pippin, mais lui-même vivant et libre.","Il se voir courant, libre, sur leherbe, affliger par le pensée de Merry, de Sam et de Pippin, mais lui-même vivant et libre."
5060,Le Seigneur des Anneaux,,,88,88,90,Gandalf admettrait qu'il n'y avait rien d'autre à faire.,Gandalf admettre queil ney avoir rien deautre à faire.
5061,Le Seigneur des Anneaux,,,88,88,90,Mais le courage éveillé en lui était à présent trop fort: Il ne pouvait abandonner ses amis aussi aisément.,Mais le courage éveiller en luire être à présent trop fort: Il ne pouvoir abandonner son ami aussi aisément.
5062,Le Seigneur des Anneaux,,,88,88,90,"Il hésita, la main tâtonnant dans sa poche, et puis il lutta de nouveau contre lui-même, et pendant ce temps le bras s'avançait encore.","Il hésiter, le main tâtonner dans son poche, et pouvoir il lutter de nouveau contre lui-même, et pendant ce temps le bras seavancer encore."
5063,Le Seigneur des Anneaux,,,88,88,90,"Soudain, la résolution se durcit en Frodon, il saisit une courte épée qui se trouvait à côté de lui et, s'agenouillant, il se pencha très bas sur les corps de ses compagnons.","Soudain, le résolution se durcir en Frodon, il saisir un court épée qui se trouver à côté de luire et, seagenouiller, il se pencher très bas sur le corps de son compagnon."
5064,Le Seigneur des Anneaux,,,88,88,90,"De toutes ses forces, il porta un coup de tranchant sur la main rampante, près du poignet, et elle se détacha, mais en même temps, l'épée vola en éclats jusqu'à la garde.","De tout son force, il porter un coup de trancher sur le main rampant, près de poignet, et lui se détacher, mais en même temps, leépée voler en éclat jusqueà le garde."
5065,Le Seigneur des Anneaux,,,88,88,90,"Il y eut un cri perçant, et la lumière disparut.","Il y avoir un cri percer, et le lumière disparut."
5066,Le Seigneur des Anneaux,,,88,88,90,"Dans les ténèbres, s'éleva un grognement.","Dans le ténèbre, seélever un grognement."
5067,Le Seigneur des Anneaux,,,88,88,90,"Frodon tomba en avant par-dessus Merry, et le visage de celui ci était froid.","Frodon tomber en avant par-dessus Merry, et le visage de celui ci être froid."
5068,Le Seigneur des Anneaux,,,88,88,90,"Tout d'un coup, il lui revint à l'esprit, d'où il avait disparu dès l'apparition du brouillard, le souvenir de la maison sous la colline et du chant de Tom.","Tout deun coup, il luire revenir à leesprit, deoù il avoir disparaître dès leapparition de brouillard, le souvenir de le maison sou le colline et de chant de Tom."
5069,Le Seigneur des Anneaux,,,88,88,90,II se rappela la poésie que Tom lui avait enseignée.,II se rappeler le poésie que Tom luire avoir enseigner.
5070,Le Seigneur des Anneaux,,,88,88,90,"D'une petite voix désespérée, il commença: «Ohé!","DEun petit voix désespéré, il commencer: «Ohé!"
5071,Le Seigneur des Anneaux,,,88,88,90,"Tom Bombadil ! », Et, sur ce nom, sa voix sembla prendre de la force: Elle avait un son plein et vivant, et la pièce obscure retentit comme de l'écho du tambour et de la trompette.","Tom Bombadil ! », Et, sur ce nom, son voix sembler prendre de le force: Lui avoir un son plein et vivant, et le pièce obscur retentir comme de leécho de tambour et de le trompette."
5072,Le Seigneur des Anneaux,,,88,88,90,Ohé!,Ohé!
5073,Le Seigneur des Anneaux,,,88,88,90,"Tom Bombadil, Tom Bombadillon!","Tom Bombadil, Tom Bombadillon!"
5074,Le Seigneur des Anneaux,,,88,88,90,"Par l'eau, la forêt et la colline, par le roseau et le saule, Par le feu, le soleil et la lune, écoutez maintenant et entendez-nous!","Par leeau, le forêt et le colline, par le roseau et le saule, Par le feu, le soleil et le lune, écouter maintenant et entendrenous!"
5075,Le Seigneur des Anneaux,,,88,88,90,"Accourez, Tom Bombadil, car notre besoin est proche de nous!","Accourez, Tom Bombadil, car notre besoin être proche de nous!"
5076,Le Seigneur des Anneaux,,,88,88,90,"Il y eut un soudain et profond silence, pendant lequel Frodon put entendre les battements de son cœur.","Il y avoir un soudain et profond silence, pendant lequel Frodon pouvoir entendre le battement de son cœur."
5077,Le Seigneur des Anneaux,,,88,88,90,"Après un long et lent moment, il perçut clairement, mais de très loin, comme venue à travers la terre ou des murs épais, une voix qui répondait en chantant Tom Bombadil est un gai luron, Bleu vif est sa veste, et ses bottes sont jaunes.","Après un long et lent moment, il percevoir clairement, mais de très loin, comme venue à travers le terre ou de mur épais, un voix qui répondre en chanter Tom Bombadil être un gai luron, Bleu vif être son veste, et son botte être jaune."
5078,Le Seigneur des Anneaux,,,88,88,90,"Personne ne l'a jamais pris encore, car Tom, c'est le maître: Ses chansons sont des chansons plus fortes, et ses pieds sont plus rapides.","Personne ne leavoir jamais prendre encore, car Tom, ceêtre le maître: Son chanson être un chanson plus fort, et son pied être plus rapide."
5079,Le Seigneur des Anneaux,,,88,88,90,"Il y eut un fort grondement, comme de pierres qui roulaient et tombaient, et soudain la lumière entra à flots, la vraie lumière, la pure lumière du jour.","Il y avoir un fort grondement, comme de pierre qui rouler et tomber, et soudain le lumière entrer à flot, le vrai lumière, le pur lumière de jour."
5080,Le Seigneur des Anneaux,,,88,88,90,"Une ouverture basse en forme de porte apparut à l'extrémité de la pièce, audelà des pieds de Frodon, et la tête de Tom (avec son chapeau, sa plume et tout) s'y encadrait, silhouettée sur le soleil Le seigneur des anneaux Page 90 sur 90","Un ouverture bas en forme de porte apparaître à leextrémité de le pièce, audelà de pied de Frodon, et le tête de Tom (avec son chapeau, son plume et tout) sey encadrer, silhouetter sur le soleil Le seigneur de anneau Page 90 sur 90"
5081,Le Seigneur des Anneaux,,,88,88,90,PREMIERE,PREMIERE
5082,Le Seigneur des Anneaux,,,88,88,90,PARTIE,PARTIE
5083,Le Seigneur des Anneaux,,,88,88,90,La communauté de l'anneau Livre I,Le communauté de leanneau Livre I
5084,Le Seigneur des Anneaux,,,88,88,90,CHAPITRE HUIT,CHAPITRE HUIT
5085,Le Seigneur des Anneaux,,,88,88,90,BROUILLARD,BROUILLARD
5086,Le Seigneur des Anneaux,,,88,88,90,"SUR LES HAUT DES GALGALS qui se levait, rouge, derrière elle.","SUR LE HAUT DE GALGALS qui se lever, rouge, derrière lui."
5087,Le Seigneur des Anneaux,,,88,88,90,La lumière inondait le sol et les visages des trois Hobbits couchés à côté de Frodon.,Le lumière inonder le sol et le visage de trois Hobbit coucher à côté de Frodon.
