Id unique,aliases,phrase,sentence_id,book,mots_cibles,alias_trouves_dans_phrase
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"Tout autour de lui, F’lar voyait les dragons disparaître dans l’Interstice et réapparaître aussitôt, crachant les flammes, s’élevant à des hauteurs vertigineuses puis se laissant tomber en piqué.",67047,8.0,disparaitre,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,F’lar regarda d’un air significatif les Seigneurs qui s’étaient partagé les dépouilles des sept Forts de Fax après sa mort.,67804,8.0,depouille,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"Fax était mort de la main de F’lar, et elle était partie pour le Weyr de Benden.",68893,8.0,mourir,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"Au cours de ces derniers mois, ce n’était pas la première fois que Robinton regrettait la hâte de F’lar de Benden à se démettre de son commandement après que Lessa fut remontée dans le temps interstitiel pour ramener jusqu’à son époque les cinq Weyrs disparus.",69490,9.0,disparu,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"Si T’ron tuait F’lar, il pourrait contrôler les autres.",75547,9.0,tuer,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"Il était toujours l’individu crucial, le plus âgé des Anciens qui restaient, et, s’il s’était refroidi après les événements tumultueux de la veille et avait changé d’avis en dormant, la proposition qu’allait faire F’lar pourrait bien mourir dans l’œuf.",76102,9.0,mourir,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"F’lar soupira et se renversa de nouveau dans son lit, toute ardeur ayant disparu de son visage.",77737,9.0,disparaitre,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"— Votre faute initiale, mon cher F’lar, dit le Harpiste de sa voix la plus comique, c’est de nous avoir sauvés d’un désastre imminent, la dernière fois, en tout juste trois jours, en ramenant dans l’avenir les Cinq Weyrs disparus.",79304,9.0,disparu,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,Robinton regarda F’lar et le bronze Mnementh s’élever au-dessus des crêtes de feu et disparaître.,100597,13.0,disparaitre,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"— Je vous tuerai, F’lar, dit T’kul en grinçant des dents, en s’efforçant d’abaisser sa main droite, plus près, toujours plus près du cou du chevalierbronze.",102743,13.0,tuer,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"Je vous tuerai, F’lar !",102750,13.0,tuer,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"Naturellement qu’elle était bouleversée : F’lar acculé à tuer un chevalierdragon, le vol de l’œuf, la fureur de Ramoth…",102846,13.0,tuer,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,Il tuera F’lar !,103026,13.0,tuer,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,Cet idiot de T’kul aurait pu tuer F’lar aujourd’hui !,103304,13.0,tuer,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"On demanda à F’lar, Lessa et F’nor de venir d’urgence avant que les Sœurs de l’Aube ne disparaissent.",104822,13.0,disparaitre,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"Et elles ont failli en mourir, dit F’lar.",116258,14.0,mourir,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"— Les connaissances qu’il nous a prodiguées ne mourront pas, dit F’lar, s’écartant pour laisser entrer Menolly et Sebell.",119539,14.0,mourir,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"— Et moi, j’ai survécu à trois jours sans aucun espoir, dit F’lar en l’embrassant, faisant allusion à la détresse qu’il avait ressentie quand elle avait remonté le temps pour ramener les cinq Weyrs disparus.",131908,15.0,disparu,f’lar
278,F’lessan,"Il se tourna alors pour dire quelque chose à F’lessan, et s’aperçut qu’il avait disparu.",98093,13.0,disparaitre,f’lessan
278,F’lessan,"Elle pourrait glisser sur notre atmosphère et disparaître, pensa F’lessan avec espoir.",123643,15.0,disparaitre,f’lessan
278,F’lessan,F’lessan mourrait !,129507,15.0,mourir,f’lessan
278,F’lessan,F’lessan voudrait sûrement mourir aussi !,129522,15.0,mourir,f’lessan
278,F’lessan,F’lessan n’était pas mort parce que Golanth n’était pas mort.,129728,15.0,mourir,f’lessan
278,F’lessan,"— Ils ont déplacé des félins qui allaient tuer Golanth, F’lessan, Tai et Zaranth, dit pensivement Lessa.",129767,15.0,tuer,f’lessan
278,F’lessan,"Du coin de l’œil, Tai vit F’lessan disparaître.",131115,15.0,disparaitre,f’lessan
279,F’lon Falloner | Falloner | F’lon,"mais ils devaient avoir des mères différentes, puisque celle de Falloner était morte à sa naissance.",53414,7.0,mourir,falloner
279,F’lon Falloner | Falloner | F’lon,"Un spasme violent parcourut le corps de F’lon, et il mourut.",60091,7.0,mourir,f’lon
279,F’lon Falloner | Falloner | F’lon,Mais F’lon s’est fait tuer dans une bagarre ridicule.,64815,8.0,tuer,f’lon
279,F’lon Falloner | Falloner | F’lon,"Maintenant, ses pensées le ramenaient inéluctablement à ce jour d’été où Hath, le dragon-bronze de R’gul, avait pris son vol pour s’accoupler à la grotesque Nemorth, et où R’gul était devenu Chef du Weyr à la place de F’lon, le père décédé de F’lar.",66355,8.0,deceder,f’lon
281,F’nor F’lor | F’lor | F’nor,"dit F’nor, exaspéré, en regardant dans la direction où Brekke avait disparu.",71553,9.0,disparaitre,f’nor
281,F’nor F’lor | F’lor | F’nor,» C’est ce qu’avait dit Sebell : Brekke ne voulait plus vivre si Canth et F’nor mourraient.,88802,11.0,mourir,f’nor
281,F’nor F’lor | F’lor | F’nor,"Tes chansons traitent de sujets, comme le lézard-de-feu et le cri de Brekke vers F’nor et Canh, qui contribueront à modifier les attitudes rigides comme celles qui t’ont presque tuée dans ton fort natal.",90349,11.0,tuer,f’nor
281,F’nor F’lor | F’lor | F’nor,"F’nor dit qu’elle venait juste de tuer une proie quand trois bronzes sont apparus, ont passé le dragon de guet…",98671,13.0,tuer,f’nor
281,F’nor F’lor | F’lor | F’nor,"On demanda à F’lar, Lessa et F’nor de venir d’urgence avant que les Sœurs de l’Aube ne disparaissent.",104822,13.0,disparaitre,f’nor
281,F’nor F’lor | F’lor | F’nor,F’nor avait failli mourir dans sa tentative d’atteindre l’Étoile,109140,14.0,mourir,f’nor
290,Fandarel,"Fandarel envoya un message indigné à Sebell, le Maître Harpiste de Pern, lui rappelant que ce n’était pas la première fois que des articles de valeur avaient mystérieusement disparu pendant leur transport aux autres Ateliers de Forgerons.",119979,15.0,disparaitre,fandarel
291,Fanna,"Le jeune maître de Ruth y était venu la première fois quand il était à la recherche de D’ram, qui, après la mort de Fanna, avait renoncé à sa charge de Chef du Weyr et avait disparu.",46609,6.0,disparaitre,fanna
291,Fanna,Il est peu probable qu’il reste Chef de Weyr quand Fanna mourra.,99608,13.0,mourir,fanna
291,Fanna,"Quand… quand Fanna est morte, dit-il d’un ton fiévreux, j’aurais dû aller au Weyr Méridional.",103289,13.0,mourir,fanna
293,Farevene,— Farevene a été assassiné.,59386,7.0,assassiner,farevene
296,Faroguy,"— Oui, parce que je sais qu’il y a aux Hautes Terres un homme très ambitieux qui réclamera la succession pour lui… quand le Seigneur Faroguy mourra.",57311,7.0,mourir,faroguy
298,Fax,"— La mère de Fax est morte en le mettant au monde, alors, nous ne saurons jamais, n’est-ce pas ?",55114,7.0,mourir,fax
298,Fax,"Malgré des propositions de récompenses substantielles, Maître Idarolan, qui avait succédé à Maître Gostol dans la charge de Maître Pêcheur de Pern, refusa à Fax de remplacer les bateaux, si mystérieusement disparus dans les villages de pêcheurs des Hautes Terres.",60791,7.0,disparu,fax
298,Fax,Fax essayait-il de la tuer ?,61089,7.0,tuer,fax
298,Fax,"Les hommes de Fax, mécontents que leur Dame soit morte, grommelaient, mais Fax semblait plutôt content.",61353,7.0,mourir,fax
298,Fax,Ils ne pouvaient pas manquer de comprendre que la protection de Fax était morte avec lui.,61535,7.0,mourir,fax
298,Fax,"— J’avais entendu dire que Jora était morte, répliqua Fax, renonçant à la troisième personne, comme si F’lar avait passé une sorte d’épreuve en n’y prêtant pas attention.",61858,8.0,mourir,fax
298,Fax,"— Le Fort vient juste de se lever de table, Seigneur F’lar, si… suggéra Fax, dont la voix mourut devant le sourire de refus de F’lar.",61896,8.0,mourir,fax
298,Fax,Fax ne doit pas tuer le chevalierdragon.,62905,8.0,tuer,fax
298,Fax,Elle ne devait pas avoir plus de dix Révolutions d’âge quand Fax avait assassiné toute sa famille.,63268,8.0,assassiner,fax
298,Fax,F’lar regarda d’un air significatif les Seigneurs qui s’étaient partagé les dépouilles des sept Forts de Fax après sa mort.,67804,8.0,depouille,fax
298,Fax,"Fax était mort de la main de F’lar, et elle était partie pour le Weyr de Benden.",68893,8.0,mourir,fax
298,Fax,"Un père qu’il n’avait jamais vu, une mère morte en le mettant au monde l’avaient fait Seigneur de Ruatha, bien que sa mère fût originaire du Fort de Crom, et Fax, son père, des Hautes Terres.",71946,9.0,mourir,fax
298,Fax,"Mais tuer Fax avait été considéré comme un problème insoluble, autrefois.",128861,15.0,tuer,fax
298,Fax,"Lessa de Ruatha et du Weyr de Benden, qui n’avait pas pleuré même quand Fax avait assassiné toute sa famille, pleurait maintenant !",129715,15.0,assassiner,fax
301,Felena,"Cette enfant meurt de faim, Felena.",84160,10.0,mourir,felena
302,Felessan Fesselan | Felessan | Fesselan,Comment pouvait-elle oublier qu’elle avait failli mourir à la naissance de Felessan ?,70756,9.0,mourir,felessan
316,Fleur du Vent | du Vent | Fleur,"Un long gémissement s’éleva du Weyr, comme la mélopée funèbre et solitaire du vent d’hiver.",67248,8.0,funebre,du vent
335,G’lanar,"On dit que le Seigneur Jaxom et son dragon blanc ont tué G’lanar et Lamoth, délibérément.",117287,14.0,tuer,g’lanar
340,G’ron Giron | Giron | G’ron,"Thella et Giron seraient-ils partis dans le Sud avec Readis – pour disparaître sur ce que certains prenaient pour un vaste continent, et d’autres pour une île comme Ista, en plus grand ?",44871,6.0,disparaitre,giron
344,Gaby,"Nous rentrâmes avec du cresson précoce et des oignons sauvages, et Gaby se surprit lui-même en tuant un wherry sauvage d’un javelot bien lancé.",37623,5.0,tuer,gaby
350,Gana,"Bien que jeune, il avait droit à tous les honneurs et politesses dus à un chevalier-dragon, et c’est pourquoi, devant du klah et un excellent gâteau de Dame Gana, il nous apprit que les coureurs mouraient de la peste, eux aussi, et devaient être inoculés.",38918,5.0,mourir,gana
350,Gana,"Tuero avait pu établir que la fille de Dame Gana était morte parmi les premières, soignée par la servante qui avait aussi succombé à la maladie.",39393,5.0,mourir,gana
364,Gemma,"— Oui, morte, morte, la pauvre Gemma.",61343,7.0,mourir,gemma
364,Gemma,Il était content que Dame Gemma fût morte en mettant au monde son héritier.,62960,8.0,mourir,gemma
364,Gemma,"Dame Gemma est morte, l’enfant n’est pas né.",63118,8.0,mourir,gemma
364,Gemma,Dame Gemma ne serait peut-être pas morte.,63191,8.0,mourir,gemma
364,Gemma,Et en deuil pour la mort de Dame Gemma.,63454,8.0,deuil,gemma
366,Gennell,"— Je vais te montrer le chemin, dit Gennell, et, suivi du Seigneur Halibran, flanqué de Betrice et Ginia, ils disparurent dans l’Atelier.",51767,7.0,disparaitre,gennell
366,Gennell,Il pensait aussi que Maître Gennell avait fait allusion à une chose que les apprentis mouraient d’envie d’apprendre ;,54612,7.0,mourir,gennell
366,Gennell,"— Tu n’es pas près de nous quitter, Gennell, dit-il avec un rire désinvolte qui mourut devant l’expression de Gennell.",59110,7.0,mourir,gennell
366,Gennell,"L’hiver suivant, qui fut aussi très rigoureux, Maître Gennell mourut d’une défaillance cardiaque.",59258,7.0,mourir,gennell
369,Ginia,"— Je vais te montrer le chemin, dit Gennell, et, suivi du Seigneur Halibran, flanqué de Betrice et Ginia, ils disparurent dans l’Atelier.",51767,7.0,disparaitre,ginia
369,Ginia,"Ce n’était pas le style de sa mère, mais il sourit en suivant des yeux Ginia, qui disparaissait dans le couloir.",56257,7.0,disparaitre,ginia
378,Gostol,"Malgré des propositions de récompenses substantielles, Maître Idarolan, qui avait succédé à Maître Gostol dans la charge de Maître Pêcheur de Pern, refusa à Fax de remplacer les bateaux, si mystérieusement disparus dans les villages de pêcheurs des Hautes Terres.",60791,7.0,disparu,gostol
397,Halibran,"— Je vais te montrer le chemin, dit Gennell, et, suivi du Seigneur Halibran, flanqué de Betrice et Ginia, ils disparurent dans l’Atelier.",51767,7.0,disparaitre,halibran
402,Hayara,"Robinton ne sut jamais à quel moment le Seigneur Maidir et S’loner avaient quitté la table, car la nuit était tombée, et, bien qu’il y eût de nombreux paniers de brandons autour du Bassin, il y avait tant de gens qui allaient et venaient – pour aller chercher du vin ou satisfaire un besoin naturel –, et il avait tant de choses à surveiller en sa qualité de Harpiste, qu’il ne remarqua leur absence que lorsque Dame Hayara se leva, fuyant une Jora ivre morte qui s’était effondrée sur la table.",55842,7.0,mourir,hayara
